"_"",""NE__PropId__c"",""NE__PropId__r.Name"",""Id"",""Name"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BWEAZ"",""Tipo de Tensão BR"",""a1i1o000003OgAjAAK"",""Monofásica"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BWEAZ"",""Tipo de Tensão BR"",""a1i1o000003OgAkAAK"",""Bifásica"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BWEAZ"",""Tipo de Tensão BR"",""a1i1o000003OgAlAAK"",""Trifásica"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BWEAZ"",""Tipo de Tensão BR"",""a1i1o000003OgAmAAK"",""Trifásico (agrupado)"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BSEAZ"",""Valor de Tensão BR"",""a1i1o000003OgAOAA0"",""11.4 KV"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BSEAZ"",""Valor de Tensão BR"",""a1i1o000003OgAPAA0"",""13.8 KV"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BSEAZ"",""Valor de Tensão BR"",""a1i1o000003OgAQAA0"",""34.5 KV"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BSEAZ"",""Valor de Tensão BR"",""a1i1o000003OgARAA0"",""69 KV"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BSEAZ"",""Valor de Tensão BR"",""a1i1o000003OgASAA0"",""138 KV"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BSEAZ"",""Valor de Tensão BR"",""a1i1o000003OgATAA0"",""230 KV"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BSEAZ"",""Valor de Tensão BR"",""a1i1o000003OgAUAA0"",""127 V"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BSEAZ"",""Valor de Tensão BR"",""a1i1o000003OgAVAA0"",""220 V"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BSEAZ"",""Valor de Tensão BR"",""a1i1o000003OgAWAA0"",""380 V"
